Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 He, cm-3 
6 Ar, cm-3
7 H, cm-3
8 N, cm-3

      1          2          3          4          5          6          7          8
   74.0  1.840E+07  5.223E+14  1.387E+14  3.581E+09  6.231E+12  1.472E-11  2.290E+04
   75.0  4.660E+07  4.501E+14  1.194E+14  3.096E+09  5.366E+12  3.010E-04  2.472E+04
   76.0  1.148E+08  3.878E+14  1.028E+14  2.678E+09  4.622E+12  1.146E+01  2.672E+04
   77.0  2.731E+08  3.342E+14  8.846E+13  2.318E+09  3.980E+12  7.903E+03  2.891E+04
   78.0  6.241E+08  2.879E+14  7.610E+13  2.007E+09  3.426E+12  4.350E+05  3.130E+04
   79.0  1.363E+09  2.479E+14  6.543E+13  1.739E+09  2.948E+12  4.933E+06  3.391E+04
   80.0  2.833E+09  2.133E+14  5.622E+13  1.507E+09  2.535E+12  2.094E+07  3.674E+04
   81.0  5.592E+09  1.835E+14  4.827E+13  1.306E+09  2.178E+12  4.833E+07  3.981E+04
   82.0  1.046E+10  1.577E+14  4.140E+13  1.133E+09  1.869E+12  7.653E+07  4.314E+04
   83.0  1.855E+10  1.354E+14  3.548E+13  9.834E+08  1.603E+12  9.607E+07  4.673E+04
   84.0  3.117E+10  1.162E+14  3.036E+13  8.541E+08  1.373E+12  1.045E+08  5.060E+04
   85.0  4.969E+10  9.956E+13  2.595E+13  7.425E+08  1.174E+12  1.042E+08  5.475E+04
   86.0  7.523E+10  8.522E+13  2.215E+13  6.461E+08  1.003E+12  9.845E+07  5.919E+04
   87.0  1.084E+11  7.286E+13  1.887E+13  5.630E+08  8.548E+11  9.012E+07  6.393E+04
   88.0  1.492E+11  6.220E+13  1.605E+13  4.914E+08  7.274E+11  8.100E+07  6.897E+04
   89.0  1.963E+11  5.303E+13  1.363E+13  4.298E+08  6.178E+11  7.208E+07  7.434E+04
   90.0  2.479E+11  4.514E+13  1.155E+13  3.768E+08  5.236E+11  6.384E+07  8.002E+04
   91.0  3.012E+11  3.837E+13  9.769E+12  3.313E+08  4.427E+11  5.649E+07  8.602E+04
   92.0  3.532E+11  3.255E+13  8.241E+12  2.922E+08  3.732E+11  5.003E+07  9.233E+04
   93.0  4.007E+11  2.755E+13  6.932E+12  2.586E+08  3.136E+11  4.442E+07  9.893E+04
   94.0  4.410E+11  2.326E+13  5.813E+12  2.298E+08  2.626E+11  3.957E+07  1.058E+05
   95.0  4.720E+11  1.959E+13  4.858E+12  2.051E+08  2.189E+11  3.538E+07  1.129E+05
   96.0  4.928E+11  1.645E+13  4.046E+12  1.840E+08  1.818E+11  3.178E+07  1.203E+05
   97.0  5.029E+11  1.378E+13  3.357E+12  1.660E+08  1.502E+11  2.868E+07  1.280E+05
   98.0  5.030E+11  1.151E+13  2.776E+12  1.508E+08  1.236E+11  2.599E+07  1.359E+05
   99.0  4.942E+11  9.597E+12  2.287E+12  1.379E+08  1.012E+11  2.367E+07  1.441E+05
  100.0  4.780E+11  7.981E+12  1.878E+12  1.270E+08  8.241E+10  2.164E+07  1.527E+05
  101.0  4.559E+11  6.623E+12  1.537E+12  1.178E+08  6.681E+10  1.985E+07  1.616E+05
  102.0  4.299E+11  5.489E+12  1.254E+12  1.101E+08  5.394E+10  1.828E+07  1.710E+05
  103.0  4.015E+11  4.546E+12  1.022E+12  1.038E+08  4.339E+10  1.688E+07  1.811E+05
  104.0  3.720E+11  3.765E+12  8.315E+11  9.854E+07  3.480E+10  1.563E+07  1.918E+05
  105.0  3.425E+11  3.120E+12  6.761E+11  9.426E+07  2.784E+10  1.451E+07  2.034E+05
  106.0  3.137E+11  2.587E+12  5.497E+11  9.077E+07  2.224E+10  1.348E+07  2.158E+05
  107.0  2.862E+11  2.149E+12  4.471E+11  8.793E+07  1.775E+10  1.255E+07  2.293E+05
  108.0  2.601E+11  1.788E+12  3.640E+11  8.561E+07  1.417E+10  1.169E+07  2.438E+05
  109.0  2.358E+11  1.491E+12  2.967E+11  8.370E+07  1.131E+10  1.089E+07  2.594E+05
  110.0  2.134E+11  1.246E+12  2.423E+11  8.210E+07  9.033E+09  1.015E+07  2.760E+05
  111.0  1.927E+11  1.044E+12  1.983E+11  8.071E+07  7.228E+09  9.451E+06  2.938E+05
  112.0  1.738E+11  8.775E+11  1.627E+11  7.946E+07  5.797E+09  8.800E+06  3.128E+05
  113.0  1.567E+11  7.399E+11  1.339E+11  7.830E+07  4.663E+09  8.190E+06  3.330E+05
  114.0  1.412E+11  6.261E+11  1.106E+11  7.717E+07  3.765E+09  7.618E+06  3.544E+05
  115.0  1.273E+11  5.320E+11  9.166E+10  7.604E+07  3.052E+09  7.084E+06  3.773E+05
  116.0  1.148E+11  4.539E+11  7.632E+10  7.489E+07  2.486E+09  6.585E+06  4.016E+05
  117.0  1.037E+11  3.891E+11  6.387E+10  7.371E+07  2.037E+09  6.122E+06  4.277E+05
  118.0  9.391E+10  3.353E+11  5.373E+10  7.251E+07  1.679E+09  5.693E+06  4.558E+05
  119.0  8.524E+10  2.906E+11  4.548E+10  7.129E+07  1.393E+09  5.299E+06  4.863E+05
  120.0  7.766E+10  2.535E+11  3.876E+10  7.010E+07  1.166E+09  4.939E+06  5.199E+05
  121.0  7.108E+10  2.227E+11  3.328E+10  6.897E+07  9.834E+08  4.613E+06  5.572E+05
  122.0  6.544E+10  1.972E+11  2.881E+10  6.795E+07  8.378E+08  4.322E+06  5.995E+05
  123.0  6.068E+10  1.763E+11  2.518E+10  6.709E+07  7.215E+08  4.065E+06  6.481E+05
  124.0  5.686E+10  1.594E+11  2.228E+10  6.655E+07  6.302E+08  3.846E+06  7.063E+05
  125.0  5.332E+10  1.445E+11  1.977E+10  6.592E+07  5.520E+08  3.641E+06  7.686E+05
  126.0  5.010E+10  1.314E+11  1.760E+10  6.525E+07  4.855E+08  3.450E+06  8.359E+05
  127.0  4.717E+10  1.199E+11  1.573E+10  6.456E+07  4.285E+08  3.272E+06  9.085E+05
  128.0  4.448E+10  1.096E+11  1.410E+10  6.384E+07  3.796E+08  3.106E+06  9.864E+05
  129.0  4.202E+10  1.005E+11  1.268E+10  6.310E+07  3.373E+08  2.951E+06  1.070E+06
  130.0  3.975E+10  9.238E+10  1.143E+10  6.234E+07  3.006E+08  2.806E+06  1.159E+06
  131.0  3.766E+10  8.509E+10  1.033E+10  6.158E+07  2.687E+08  2.671E+06  1.254E+06
  132.0  3.573E+10  7.853E+10  9.367E+09  6.080E+07  2.408E+08  2.544E+06  1.354E+06
  133.0  3.394E+10  7.262E+10  8.512E+09  6.003E+07  2.163E+08  2.425E+06  1.460E+06
  134.0  3.228E+10  6.728E+10  7.752E+09  5.926E+07  1.948E+08  2.314E+06  1.572E+06
  135.0  3.073E+10  6.243E+10  7.077E+09  5.849E+07  1.758E+08  2.209E+06  1.689E+06
  136.0  2.929E+10  5.802E+10  6.474E+09  5.773E+07  1.589E+08  2.111E+06  1.812E+06
  137.0  2.795E+10  5.400E+10  5.934E+09  5.698E+07  1.440E+08  2.019E+06  1.941E+06
  138.0  2.670E+10  5.033E+10  5.449E+09  5.624E+07  1.307E+08  1.932E+06  2.074E+06
  139.0  2.552E+10  4.697E+10  5.014E+09  5.551E+07  1.188E+08  1.850E+06  2.213E+06
  140.0  2.442E+10  4.388E+10  4.621E+09  5.480E+07  1.082E+08  1.774E+06  2.356E+06
  141.0  2.338E+10  4.105E+10  4.266E+09  5.410E+07  9.863E+07  1.701E+06  2.503E+06
  142.0  2.241E+10  3.844E+10  3.945E+09  5.342E+07  9.007E+07  1.633E+06  2.655E+06
  143.0  2.149E+10  3.604E+10  3.653E+09  5.275E+07  8.236E+07  1.569E+06  2.809E+06
  144.0  2.063E+10  3.381E+10  3.387E+09  5.210E+07  7.541E+07  1.509E+06  2.967E+06
  145.0  1.981E+10  3.176E+10  3.146E+09  5.146E+07  6.913E+07  1.452E+06  3.128E+06
  146.0  1.904E+10  2.985E+10  2.925E+09  5.084E+07  6.344E+07  1.399E+06  3.291E+06
  147.0  1.831E+10  2.808E+10  2.723E+09  5.024E+07  5.829E+07  1.348E+06  3.455E+06
  148.0  1.762E+10  2.644E+10  2.538E+09  4.965E+07  5.360E+07  1.300E+06  3.621E+06
  149.0  1.697E+10  2.492E+10  2.368E+09  4.908E+07  4.935E+07  1.255E+06  3.787E+06
  150.0  1.634E+10  2.349E+10  2.211E+09  4.852E+07  4.547E+07  1.213E+06  3.953E+06
  151.0  1.575E+10  2.217E+10  2.068E+09  4.798E+07  4.193E+07  1.173E+06  4.118E+06
  152.0  1.519E+10  2.093E+10  1.935E+09  4.745E+07  3.870E+07  1.135E+06  4.283E+06
  153.0  1.466E+10  1.977E+10  1.812E+09  4.694E+07  3.575E+07  1.099E+06  4.445E+06
  154.0  1.415E+10  1.869E+10  1.699E+09  4.643E+07  3.305E+07  1.066E+06  4.606E+06
  155.0  1.366E+10  1.768E+10  1.594E+09  4.594E+07  3.058E+07  1.034E+06  4.763E+06
  156.0  1.320E+10  1.673E+10  1.496E+09  4.547E+07  2.830E+07  1.004E+06  4.917E+06
  157.0  1.276E+10  1.584E+10  1.406E+09  4.500E+07  2.622E+07  9.751E+05  5.068E+06
  158.0  1.233E+10  1.500E+10  1.322E+09  4.455E+07  2.430E+07  9.481E+05  5.214E+06
  159.0  1.193E+10  1.422E+10  1.243E+09  4.411E+07  2.254E+07  9.226E+05  5.355E+06
  160.0  1.154E+10  1.348E+10  1.170E+09  4.367E+07  2.092E+07  8.984E+05  5.491E+06
  161.0  1.117E+10  1.278E+10  1.102E+09  4.325E+07  1.943E+07  8.755E+05  5.622E+06
  162.0  1.082E+10  1.212E+10  1.039E+09  4.284E+07  1.805E+07  8.538E+05  5.746E+06
  163.0  1.048E+10  1.151E+10  9.796E+08  4.244E+07  1.677E+07  8.333E+05  5.864E+06
  164.0  1.015E+10  1.093E+10  9.241E+08  4.204E+07  1.560E+07  8.138E+05  5.976E+06
  165.0  9.837E+09  1.038E+10  8.721E+08  4.166E+07  1.451E+07  7.953E+05  6.081E+06
  166.0  9.536E+09  9.867E+09  8.234E+08  4.128E+07  1.351E+07  7.778E+05  6.179E+06
  167.0  9.246E+09  9.380E+09  7.778E+08  4.091E+07  1.258E+07  7.611E+05  6.270E+06
  168.0  8.968E+09  8.920E+09  7.350E+08  4.055E+07  1.172E+07  7.453E+05  6.354E+06
  169.0  8.700E+09  8.485E+09  6.948E+08  4.020E+07  1.092E+07  7.304E+05  6.430E+06
  170.0  8.442E+09  8.073E+09  6.570E+08  3.985E+07  1.018E+07  7.161E+05  6.499E+06
  171.0  8.194E+09  7.684E+09  6.215E+08  3.951E+07  9.495E+06  7.026E+05  6.560E+06
  172.0  7.954E+09  7.315E+09  5.881E+08  3.918E+07  8.858E+06  6.897E+05  6.614E+06
  173.0  7.723E+09  6.966E+09  5.567E+08  3.885E+07  8.267E+06  6.775E+05  6.660E+06
  174.0  7.501E+09  6.635E+09  5.271E+08  3.853E+07  7.717E+06  6.658E+05  6.699E+06
  175.0  7.286E+09  6.321E+09  4.992E+08  3.822E+07  7.207E+06  6.547E+05  6.731E+06
  176.0  7.079E+09  6.023E+09  4.729E+08  3.791E+07  6.732E+06  6.442E+05  6.756E+06
  177.0  6.878E+09  5.741E+09  4.481E+08  3.760E+07  6.290E+06  6.341E+05  6.774E+06
  178.0  6.685E+09  5.473E+09  4.247E+08  3.730E+07  5.879E+06  6.246E+05  6.785E+06
  179.0  6.498E+09  5.219E+09  4.027E+08  3.701E+07  5.496E+06  6.155E+05  6.789E+06
  180.0  6.317E+09  4.977E+09  3.818E+08  3.672E+07  5.140E+06  6.068E+05  6.787E+06
  181.0  6.143E+09  4.748E+09  3.621E+08  3.644E+07  4.807E+06  5.985E+05  6.779E+06
  182.0  5.974E+09  4.530E+09  3.435E+08  3.616E+07  4.498E+06  5.906E+05  6.765E+06
  183.0  5.810E+09  4.323E+09  3.259E+08  3.588E+07  4.209E+06  5.830E+05  6.745E+06
  184.0  5.652E+09  4.126E+09  3.093E+08  3.561E+07  3.939E+06  5.758E+05  6.719E+06
  185.0  5.499E+09  3.938E+09  2.936E+08  3.534E+07  3.688E+06  5.689E+05  6.689E+06
  186.0  5.350E+09  3.760E+09  2.787E+08  3.508E+07  3.453E+06  5.623E+05  6.653E+06
  187.0  5.206E+09  3.590E+09  2.646E+08  3.482E+07  3.234E+06  5.560E+05  6.613E+06
  188.0  5.067E+09  3.428E+09  2.513E+08  3.456E+07  3.030E+06  5.500E+05  6.568E+06
  189.0  4.932E+09  3.274E+09  2.386E+08  3.431E+07  2.838E+06  5.443E+05  6.519E+06
  190.0  4.801E+09  3.128E+09  2.267E+08  3.406E+07  2.660E+06  5.388E+05  6.466E+06
  191.0  4.674E+09  2.988E+09  2.153E+08  3.382E+07  2.493E+06  5.335E+05  6.409E+06
  192.0  4.551E+09  2.855E+09  2.046E+08  3.358E+07  2.337E+06  5.285E+05  6.349E+06
  193.0  4.431E+09  2.729E+09  1.944E+08  3.334E+07  2.191E+06  5.236E+05  6.286E+06
  194.0  4.315E+09  2.608E+09  1.848E+08  3.310E+07  2.054E+06  5.190E+05  6.220E+06
  195.0  4.203E+09  2.493E+09  1.756E+08  3.287E+07  1.927E+06  5.145E+05  6.151E+06
  196.0  4.094E+09  2.383E+09  1.669E+08  3.264E+07  1.807E+06  5.103E+05  6.080E+06
  197.0  3.987E+09  2.278E+09  1.587E+08  3.241E+07  1.695E+06  5.062E+05  6.007E+06
  198.0  3.884E+09  2.178E+09  1.509E+08  3.219E+07  1.591E+06  5.023E+05  5.931E+06
  199.0  3.784E+09  2.083E+09  1.434E+08  3.196E+07  1.492E+06  4.985E+05  5.854E+06
  200.0  3.687E+09  1.992E+09  1.364E+08  3.174E+07  1.401E+06  4.949E+05  5.775E+06
  201.0  3.593E+09  1.905E+09  1.297E+08  3.151E+07  1.315E+06  4.914E+05  5.695E+06
  202.0  3.501E+09  1.822E+09  1.234E+08  3.130E+07  1.234E+06  4.880E+05  5.614E+06
  203.0  3.412E+09  1.743E+09  1.174E+08  3.109E+07  1.159E+06  4.848E+05  5.531E+06
  204.0  3.325E+09  1.667E+09  1.116E+08  3.088E+07  1.088E+06  4.817E+05  5.448E+06
  205.0  3.241E+09  1.595E+09  1.062E+08  3.067E+07  1.021E+06  4.787E+05  5.364E+06
  206.0  3.159E+09  1.526E+09  1.010E+08  3.047E+07  9.592E+05  4.759E+05  5.280E+06
  207.0  3.079E+09  1.461E+09  9.614E+07  3.026E+07  9.009E+05  4.731E+05  5.195E+06
  208.0  3.001E+09  1.398E+09  9.148E+07  3.006E+07  8.462E+05  4.704E+05  5.110E+06
  209.0  2.926E+09  1.338E+09  8.705E+07  2.987E+07  7.949E+05  4.679E+05  5.024E+06
  210.0  2.853E+09  1.280E+09  8.285E+07  2.967E+07  7.468E+05  4.654E+05  4.939E+06
  211.0  2.781E+09  1.225E+09  7.885E+07  2.947E+07  7.016E+05  4.630E+05  4.854E+06
  212.0  2.712E+09  1.173E+09  7.504E+07  2.928E+07  6.593E+05  4.607E+05  4.769E+06
  213.0  2.644E+09  1.123E+09  7.143E+07  2.909E+07  6.195E+05  4.584E+05  4.685E+06
  214.0  2.578E+09  1.075E+09  6.799E+07  2.890E+07  5.822E+05  4.563E+05  4.600E+06
  215.0  2.514E+09  1.029E+09  6.473E+07  2.871E+07  5.472E+05  4.542E+05  4.517E+06
  216.0  2.452E+09  9.855E+08  6.162E+07  2.853E+07  5.144E+05  4.521E+05  4.433E+06
  217.0  2.391E+09  9.436E+08  5.867E+07  2.835E+07  4.835E+05  4.502E+05  4.351E+06
  218.0  2.332E+09  9.036E+08  5.585E+07  2.816E+07  4.545E+05  4.483E+05  4.269E+06
  219.0  2.275E+09  8.653E+08  5.318E+07  2.798E+07  4.273E+05  4.464E+05  4.188E+06
  220.0  2.219E+09  8.287E+08  5.064E+07  2.780E+07  4.018E+05  4.447E+05  4.108E+06
  221.0  2.164E+09  7.936E+08  4.822E+07  2.763E+07  3.778E+05  4.429E+05  4.028E+06
  222.0  2.111E+09  7.601E+08  4.592E+07  2.745E+07  3.552E+05  4.412E+05  3.950E+06
  223.0  2.059E+09  7.281E+08  4.373E+07  2.728E+07  3.341E+05  4.396E+05  3.872E+06
  224.0  2.009E+09  6.974E+08  4.165E+07  2.710E+07  3.142E+05  4.380E+05  3.796E+06
  225.0  1.959E+09  6.680E+08  3.966E+07  2.693E+07  2.955E+05  4.365E+05  3.720E+06
  226.0  1.912E+09  6.399E+08  3.778E+07  2.676E+07  2.779E+05  4.350E+05  3.645E+06
  227.0  1.865E+09  6.131E+08  3.598E+07  2.659E+07  2.614E+05  4.335E+05  3.572E+06
  228.0  1.819E+09  5.873E+08  3.427E+07  2.643E+07  2.459E+05  4.321E+05  3.499E+06
  229.0  1.775E+09  5.627E+08  3.265E+07  2.626E+07  2.314E+05  4.307E+05  3.428E+06
  230.0  1.732E+09  5.391E+08  3.110E+07  2.610E+07  2.177E+05  4.294E+05  3.358E+06
  231.0  1.690E+09  5.166E+08  2.963E+07  2.593E+07  2.048E+05  4.281E+05  3.289E+06
  232.0  1.649E+09  4.950E+08  2.822E+07  2.577E+07  1.927E+05  4.268E+05  3.221E+06
  233.0  1.609E+09  4.743E+08  2.689E+07  2.561E+07  1.813E+05  4.255E+05  3.154E+06
  234.0  1.570E+09  4.545E+08  2.562E+07  2.545E+07  1.706E+05  4.243E+05  3.088E+06
  235.0  1.532E+09  4.355E+08  2.441E+07  2.529E+07  1.605E+05  4.231E+05  3.024E+06
  236.0  1.495E+09  4.174E+08  2.325E+07  2.514E+07  1.511E+05  4.220E+05  2.960E+06
  237.0  1.459E+09  4.000E+08  2.216E+07  2.498E+07  1.422E+05  4.208E+05  2.898E+06
  238.0  1.424E+09  3.833E+08  2.111E+07  2.483E+07  1.338E+05  4.197E+05  2.837E+06
  239.0  1.389E+09  3.674E+08  2.012E+07  2.467E+07  1.259E+05  4.186E+05  2.777E+06
  240.0  1.356E+09  3.521E+08  1.917E+07  2.452E+07  1.185E+05  4.175E+05  2.718E+06
  241.0  1.323E+09  3.375E+08  1.827E+07  2.437E+07  1.116E+05  4.165E+05  2.660E+06
  242.0  1.292E+09  3.235E+08  1.741E+07  2.422E+07  1.050E+05  4.154E+05  2.603E+06
  243.0  1.261E+09  3.101E+08  1.659E+07  2.407E+07  9.887E+04  4.144E+05  2.548E+06
  244.0  1.230E+09  2.972E+08  1.581E+07  2.393E+07  9.308E+04  4.134E+05  2.493E+06
  245.0  1.201E+09  2.849E+08  1.507E+07  2.378E+07  8.763E+04  4.125E+05  2.440E+06
  246.0  1.172E+09  2.731E+08  1.436E+07  2.363E+07  8.250E+04  4.115E+05  2.387E+06
  247.0  1.144E+09  2.618E+08  1.368E+07  2.349E+07  7.767E+04  4.106E+05  2.336E+06
  248.0  1.117E+09  2.510E+08  1.304E+07  2.335E+07  7.313E+04  4.097E+05  2.286E+06
  249.0  1.090E+09  2.407E+08  1.243E+07  2.320E+07  6.885E+04  4.088E+05  2.237E+06
  250.0  1.064E+09  2.307E+08  1.185E+07  2.306E+07  6.483E+04  4.079E+05  2.188E+06
  251.0  1.039E+09  2.212E+08  1.129E+07  2.292E+07  6.105E+04  4.070E+05  2.141E+06
  252.0  1.014E+09  2.121E+08  1.076E+07  2.278E+07  5.749E+04  4.061E+05  2.095E+06
